artifact,module,status,implementation_file,test_file,runtime_trace_field,full_run_rows_used,ablation_delta_net,reviewer_status,keep_or_kill,notes
T1_candidate_bucket_diversity,candidate_bucket,PASS,demo/agent/pivot_redline/candidate_bucket.py,tests/test_pivot_redline_core.py,pivot_redline.candidate_bucket_counts,0,,unit_verified,PASS,"bucketed candidates include direct, pph, short duration, low deadhead, terminal proxy, wait"
T2_risk_model_known_bad_action,risk_model,PASS,demo/agent/pivot_redline/risk_model.py,tests/test_pivot_redline_core.py,pivot_redline.score_components.pivot_risk_model,0,,unit_verified,PASS,long lockup/deadhead/month-end action ranks riskier than safe alternative
T3_value_model_terminal_choice,value_model,PASS,demo/agent/pivot_redline/value_model.py,tests/test_pivot_redline_core.py,pivot_redline.score_components.pivot_terminal_value,0,,unit_verified,PASS,near terminal visible opportunity receives higher value
T4_beam_branch_expansion,beam_rollout,PASS,demo/agent/pivot_redline/beam_rollout.py,tests/test_pivot_redline_core.py,pivot_redline.score_components.pivot_beam_rollout,0,,unit_verified,PASS,BeamNode depth 2 creates children and continuation score
T5_b0_shadow_side_effect,b0_shadow,PASS,demo/agent/pivot_redline/b0_shadow.py,tests/test_pivot_redline_core.py,pivot_redline.b0_pure_action,0,,unit_verified,PASS,pure shadow scoring leaves option score/trace unchanged
T6_end_to_end_trace,planner,PASS,demo/agent/pivot_redline/planner.py,tests/test_pivot_redline_core.py,pivot_redline.top5_candidates,0,,unit_verified,PASS,fake API end-to-end decision emits top candidates and B0 shadow fields
T7_full_precision_reposition,safety_gate,PASS,demo/agent/safety.py,tests/test_pivot_redline_core.py,action.params.latitude/action.params.longitude,0,,unit_verified,PASS,finalize preserves full precision reposition coordinates
pivot_runtime_path,planner,IMPLEMENTED_BUT_NOT_ACTIVE,demo/agent/pivot_redline/planner.py,tests/test_pivot_redline_core.py,pivot_redline,0,,pending_read_only_reviewer,IMPLEMENTED_BUT_NOT_ACTIVE,needs 31-day full-run and ablation
qwen_contract_ensemble,qwen_contract_ensemble,IMPLEMENTED_BUT_NOT_ACTIVE,demo/agent/pivot_redline/qwen_contract_ensemble.py,,pivot_redline.qwen_contract_ensemble,0,,pending_read_only_reviewer,IMPLEMENTED_BUT_NOT_ACTIVE,semantic-only boundary present; no live Qwen gym evidence yet
scorer_semantics_profile,scorer_semantics_profile,DIAGNOSTIC_ONLY,demo/agent/pivot_redline/scorer_semantics_profile.py,,pivot_redline.semantic_profile,0,,pending_read_only_reviewer,DIAGNOSTIC_ONLY,offline scorer probes not executed yet
preference_debt_accountant,preference_state,IMPLEMENTED_BUT_NOT_ACTIVE,demo/agent/pivot_redline/preference_state.py,,pivot_preference_debt,0,,pending_read_only_reviewer,IMPLEMENTED_BUT_NOT_ACTIVE,runtime path exists; no full-run/ablation evidence yet
risk_model_runtime,risk_model,IMPLEMENTED_BUT_NOT_ACTIVE,demo/agent/pivot_redline/risk_model.py,tests/test_pivot_redline_core.py,pivot_risk_model,0,,pending_read_only_reviewer,IMPLEMENTED_BUT_NOT_ACTIVE,generic runtime model only; no trained labels/full-run evidence yet
value_model_runtime,value_model,IMPLEMENTED_BUT_NOT_ACTIVE,demo/agent/pivot_redline/value_model.py,tests/test_pivot_redline_core.py,pivot_terminal_value,0,,pending_read_only_reviewer,IMPLEMENTED_BUT_NOT_ACTIVE,runtime estimator only; no trained labels/full-run evidence yet
conservative_ranker,conservative_ranker,DIAGNOSTIC_ONLY,demo/agent/pivot_redline/scoring_formula.py,,pivot_redline.weights,0,,pending_read_only_reviewer,DIAGNOSTIC_ONLY,IQL/CQL-lite training not executed yet
