row_type,run_id,dataset_tag,driver_id_hash,source_file_hash,line_no,step,action,wait_reason,query_k,query_minutes,returned_count,actionable_after_query,positive_net_count,missed_window_risk,top_candidate_expired_or_unreachable_count,query_minutes_per_positive_candidate,query_reward,preference_deadline_risk,best_order_net,best_order_per_hour,best_take_id_hash,best_take_delta_official_net_estimate,best_reposition_delta_estimate,contributes_continuous_rest,contributes_full_rest_day,contributes_appointment,contributes_market_timing,contributes_endgame_safety,wait_lock_bug,top20_take_hashes,hard_filter_reasons,reposition_value,qwen_compile_calls
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,1,1,wait,,0,0,0,0,0,0,0,0.0,0.0,1.4,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,1,1,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,1.4,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,2,2,take_order,,100,10,100,37,33,44,34,0.3,681.7,1.95,696.7,68.36,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":15,""filter_not_online"":19,""filter_remove_slack_too_short"":29,""rest_window_overlap"":15,""severe_negative_net"":1}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,3,3,take_order,,100,10,100,50,47,43,28,0.21,942.13,2.37,957.13,80.16,,,,,,,,,,,"{""filter_load_window_unreachable"":21,""filter_not_online"":7,""filter_remove_slack_too_short"":22,""rest_window_overlap"":40}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,4,4,wait,,100,10,100,39,35,58,57,0.29,758.92,2.75,773.92,47.65,,,,,,,,,,,"{""filter_load_window_unreachable"":54,""filter_not_online"":3,""filter_remove_slack_too_short"":4,""rest_window_overlap"":39}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,4,4,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,39,35,58,57,0.29,758.92,2.75,773.92,47.65,9849b4ae2daa,-21448.36,0.0,False,False,False,False,False,False,9849b4ae2daa;f66ca0f6b5ce;1a91906591e3;abe6c5838bf2;ce5016f381db;40ce561e088b;dd3a7e1dd94c;60dfe2b6f11b;3ea20af9c516;245db7164aac;9fbb55aa1ca6;d50d76caf2ba;dd117956a688;fc93e4562483;e8bab24bf346;42018b756850;120a025faeaa;12474169177e;7cd99d79f5ca;10bfb7dbdb41,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,5,5,wait,,0,0,0,0,0,0,0,0.0,0.0,2.9,0.0,0.0,,,,,,,,,,,{},[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,5,5,wait,daily_rest_guard,0,0,0,0,0,0,0,0.0,0.0,2.9,0.0,0.0,,0.0,0.0,True,False,False,False,False,False,,{},{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,6,6,take_order,,100,10,100,26,26,64,51,0.38,792.81,3.41,807.81,70.86,,,,,,,,,,,"{""filter_load_window_unreachable"":41,""filter_not_online"":10,""filter_remove_slack_too_short"":23,""rest_window_overlap"":6}",[],1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,7,7,wait,,100,10,100,43,33,52,50,0.3,905.84,4.11,920.84,28.79,,,,,,,,,,,"{""filter_load_window_unreachable"":45,""filter_not_online"":5,""filter_remove_slack_too_short"":7,""rest_window_overlap"":43}",[],1
wait,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,7,7,wait,positive_orders_failed_threshold_or_soft_risk,100,10,100,43,33,52,50,0.3,905.84,4.11,920.84,28.79,c5b389beb081,-31950.61,0.0,False,False,False,False,False,False,c5b389beb081;e734ce8f057a;c90f3b5ee93b;4b02ffeac196;93ff7c67ab90;a2181d8fcefb;74e5927a9ac1;b52418fb6870;16fe82d04993;475178ae8196;fe5e3d80065e;1811d2703ede;2debe8fcab12;39e7124770a6;c3521b03718f;dd173b8d17af;39889ec19afb;4cedaf7dcf3a;a4266b1c3660;83a870e1ce0a,"{""rest_window_overlap"":20}",{},1
query,runs/next_build/20260509/calendar_rest_only,20260509_reference,e7a52d984e7e,50f1179497f6,8,8,wait,,100,10,100,48,36,52,49,0.28,905.84,4.27,920.84,32.88,,,,,,,,,,,"{""filter_load_window_unreachable"":49,""filter_remove_slack_too_short"":3,""rest_window_overlap"":48}",[],1
