stage,component,claimed_role,actual_source_file,actually_called_by_runtime,changes_candidate_generation,changes_score,changes_action,uses_rescue_path,trace_source,is_shell,fix_required
code_audit,model_decision_service_rescue_path,runtime decision entrypoint,demo/agent/model_decision_service.py,yes,yes,yes,yes,yes for Dragon/Rescue; no for pivot branch,actual,yes for Dragon-Orca overlay,pivot branch must enter PivotRedlinePlanner before ENABLE_RESCUE_SCORER
code_audit,rescue_scorer,B0 rescue scoring and Dragon overlay scoring,demo/agent/rescue_scorer.py,yes for rescue variants,no,yes,yes via choose,yes,actual,yes for prior Dragon modules,must not be pivot main sorter
code_audit,config_variant_switches,variant routing,demo/agent/config.py,yes,yes,yes,yes,yes for historical variants,n/a,yes for Dragon-Orca rescue enablement,pivot variants must keep ENABLE_RESCUE_SCORER false
code_audit,query_policy,non-rescue query policy,demo/agent/query_policy.py,yes outside rescue; rescue uses query_k wait_lock path,yes,no,yes via observed set,partially,actual,no,pivot uses pivot_redline/query_optimizer.py instead
code_audit,candidate_generator,visible cargo candidate generation,demo/agent/candidate_generator.py,yes,yes,no,yes,shared utility,actual,no,pivot must add bucketed retention before scoring
code_audit,preference_monitor,preference certificate,demo/agent/preference_monitor.py,yes,no,yes,yes via hard block/score,shared utility,actual,no,"pivot wraps as per-contract debt, not family synthetic status"
code_audit,preference_debt_market,world debt pricing,demo/agent/preference_debt_market.py,yes via world.refresh_world,no,yes if consumed,indirect,shared world utility,actual world field,no,pivot trace must show per-rule/per-contract use
code_audit,visible_rollout,two-hop visible value,demo/agent/visible_rollout.py,yes in rescue scorer when enabled,no,yes,indirect,yes for Dragon,actual when component nonzero,partial,pivot beam must expose real BeamNode tree
code_audit,visible_graph_mpc,online opportunity graph,demo/agent/visible_graph_mpc.py,called in rescue path but disabled in sampled Dragon rows,no,only when enabled,indirect,yes,actual/disabled,diagnostic-only in Dragon evidence,pivot online probe must use current visible market only
code_audit,learned_ranker,learned ranking,demo/agent/learned_ranker.py,not in rescue/Dragon path,no,no for Dragon path,no for Dragon path,no,none in Dragon path,implemented_but_not_active,pivot conservative ranker needs training and full-run ablation before active claim
code_audit,run_dragon_orca_experiment_grid,Dragon evidence runner,tools/run_dragon_orca_experiment_grid.py,no,no,no,no,summarizes rescue runs,actual plus synthetic fallback counts,yes for some evidence fields,pivot runner must not count fallback/synthetic trace fields
code_audit,verify_dragon_orca_completion,Dragon completion gate,tools/verify_dragon_orca_completion.py,no,no,no,no,n/a,CSV/report,not pivot-compatible,use verify_pivot_redline_completion.py
code_audit,evolve_dragon_heuristics,ReEvo heuristic generation,tools/evolve_dragon_heuristics.py,no,no,no,no,n/a,static recipe,yes,pivot evolution must be full-run feedback driven
code_audit,build_dragon_regret_analyzer,regret attribution,tools/build_dragon_regret_analyzer.py,no,no,no,no,n/a,tool-derived grid formula,yes,pivot regret analyzer must read real action traces/counterfactual labels
